station:,LASCON_PC_local
process:,12222
workpiece code:,-
date:,11.10.2021
start:,10:08:43
duration:,56.271 s
PI:,456.53 %s
scriptno.:,-
error:,-

time,ATemp,STemp,CtrlOut,CtrlNr
0.000000,380.0,415.0,0.0,1
0.020000,380.0,415.0,0.2,1
0.040000,380.0,415.0,4.5,1
0.060000,380.0,415.0,20.0,1
0.080000,380.0,415.0,20.0,1
0.100000,380.0,415.0,20.0,1
0.120000,380.0,415.0,20.0,1
0.140000,380.0,415.0,20.0,1
0.160000,380.0,415.0,20.0,1
0.180000,380.0,415.0,20.0,1
0.200000,380.0,415.0,20.0,1
0.220000,380.0,415.0,20.0,1
0.240000,380.0,415.0,20.0,1
0.260000,380.0,415.0,20.0,1
0.280000,380.0,415.0,20.0,1
0.300000,387.5,415.0,20.0,1
0.320000,405.9,415.0,20.0,1
0.340000,422.6,415.0,16.8,1
0.360000,415.9,415.0,12.6,1
0.380000,418.5,415.0,11.2,1
0.400000,414.6,415.0,9.9,1
0.420000,415.1,415.0,9.3,1
0.440000,416.4,415.0,8.5,1
0.460000,416.1,415.0,8.0,1
0.480000,416.4,415.0,7.7,1
0.500000,413.5,415.0,7.4,1
0.520000,414.1,415.0,7.2,1
0.540000,416.4,415.0,6.9,1
0.560000,415.4,415.0,6.8,1
0.580000,415.9,415.0,6.5,1
0.600000,414.5,415.0,6.4,1
0.620000,415.5,415.0,6.7,1
0.640000,415.6,415.0,7.1,1
0.660000,413.8,415.0,7.6,1
0.680000,415.1,415.0,7.4,1
0.700000,413.3,415.0,7.3,1
0.720000,414.0,415.0,7.5,1
0.740000,413.8,415.0,7.4,1
0.760000,413.7,415.0,7.6,1
0.780000,413.6,415.0,7.5,1
0.800000,413.5,415.0,7.5,1
0.820000,416.0,415.0,7.6,1
0.840000,415.6,415.0,7.2,1
0.860000,412.6,415.0,7.7,1
0.880000,414.8,415.0,8.0,1
0.900000,416.5,415.0,7.6,1
0.920000,415.9,415.0,8.1,1
0.940000,414.2,415.0,7.8,1
0.960000,414.3,415.0,7.9,1
0.980000,413.8,415.0,8.1,1
1.000000,416.3,415.0,7.9,1
1.020000,415.2,415.0,8.0,1
1.040000,414.3,415.0,8.0,1
1.060000,416.0,415.0,8.3,1
1.080000,417.5,415.0,8.0,1
1.100000,414.0,415.0,8.0,1
1.120000,414.0,415.0,8.4,1
1.140000,415.0,415.0,8.4,1
1.160000,416.3,415.0,8.5,1
1.180000,413.2,415.0,8.0,1
1.200000,415.9,415.0,8.0,1
1.220000,412.1,415.0,8.3,1
1.240000,415.7,415.0,8.5,1
1.260000,415.1,415.0,8.2,1
1.280000,414.9,415.0,8.0,1
1.300000,416.0,415.0,8.1,1
1.320000,415.2,415.0,8.1,1
1.340000,414.3,415.0,8.3,1
1.360000,415.0,415.0,8.5,1
1.380000,413.1,415.0,8.3,1
1.400000,415.7,415.0,8.4,1
1.420000,416.1,415.0,8.2,1
1.440000,415.8,415.0,8.0,1
1.460000,414.8,415.0,8.3,1
1.480000,412.3,415.0,8.4,1
1.500000,416.4,415.0,8.4,1
1.520000,414.2,415.0,8.4,1
1.540000,414.8,415.0,7.8,1
1.560000,414.8,415.0,8.5,1
1.580000,414.6,415.0,8.4,1
1.600000,417.7,415.0,8.2,1
1.620000,414.5,415.0,8.3,1
1.640000,414.2,415.0,8.5,1
1.660000,416.0,415.0,8.1,1
1.680000,415.8,415.0,8.1,1
1.700000,414.7,415.0,8.6,1
1.720000,415.3,415.0,8.2,1
1.740000,415.4,415.0,8.3,1
1.760000,415.3,415.0,8.3,1
1.780000,414.1,415.0,8.4,1
1.800000,416.9,415.0,8.3,1
1.820000,416.0,415.0,8.7,1
1.840000,413.0,415.0,8.1,1
1.860000,416.8,415.0,8.2,1
1.880000,414.6,415.0,8.0,1
1.900000,415.8,415.0,8.4,1
1.920000,415.2,415.0,8.6,1
1.940000,416.4,415.0,8.1,1
1.960000,414.9,415.0,8.2,1
1.980000,414.9,415.0,8.4,1
2.000000,413.9,415.0,8.2,1
2.020000,415.1,415.0,8.2,1
2.040000,412.8,415.0,8.1,1
2.060000,416.9,415.0,8.4,1
2.080000,414.5,415.0,8.3,1
2.100000,415.5,415.0,8.3,1
2.120000,414.3,415.0,8.6,1
2.140000,416.7,415.0,8.2,1
2.160000,413.8,415.0,8.2,1
2.180000,412.2,415.0,8.4,1
2.200000,414.8,415.0,8.2,1
2.220000,416.4,415.0,8.3,1
2.240000,414.5,415.0,8.2,1
2.260000,416.8,415.0,8.5,1
2.280000,415.1,415.0,8.5,1
2.300000,417.1,415.0,8.0,1
2.320000,414.2,415.0,8.4,1
2.340000,414.7,415.0,7.9,1
2.360000,413.1,415.0,8.2,1
2.380000,416.2,415.0,8.4,1
2.400000,414.2,415.0,8.2,1
2.420000,413.1,415.0,8.5,1
2.440000,413.0,415.0,8.1,1
2.460000,413.8,415.0,8.2,1
2.480000,413.1,415.0,8.4,1
2.500000,415.6,415.0,8.3,1
2.520000,412.0,415.0,8.0,1
2.540000,413.4,415.0,7.9,1
2.560000,415.0,415.0,8.4,1
2.580000,415.8,415.0,8.2,1
2.600000,415.2,415.0,8.0,1
2.620000,415.2,415.0,8.1,1
2.640000,415.3,415.0,7.9,1
2.660000,413.9,415.0,8.2,1
2.680000,414.5,415.0,8.2,1
2.700000,414.0,415.0,8.2,1
2.720000,415.8,415.0,7.9,1
2.740000,417.4,415.0,8.0,1
2.760000,414.5,415.0,8.2,1
2.780000,412.9,415.0,8.0,1
2.800000,415.8,415.0,7.9,1
2.820000,415.7,415.0,8.2,1
2.840000,415.3,415.0,8.1,1
2.860000,414.3,415.0,8.3,1
2.880000,414.0,415.0,7.9,1
2.900000,415.2,415.0,8.0,1
2.920000,416.5,415.0,8.1,1
2.940000,415.4,415.0,8.0,1
2.960000,415.9,415.0,8.1,1
2.980000,413.9,415.0,8.1,1
3.000000,416.9,415.0,8.2,1
3.020000,415.2,415.0,8.2,1
3.040000,414.8,415.0,7.9,1
3.060000,413.6,415.0,8.3,1
3.080000,412.1,415.0,8.2,1
3.100000,414.7,415.0,8.2,1
3.120000,413.9,415.0,8.0,1
3.140000,415.8,415.0,8.2,1
3.160000,415.0,415.0,8.4,1
3.180000,413.0,415.0,8.3,1
3.200000,417.0,415.0,8.1,1
3.220000,413.3,415.0,8.0,1
3.240000,412.4,415.0,7.8,1
3.260000,412.8,415.0,8.1,1
3.280000,414.8,415.0,8.3,1
3.300000,414.2,415.0,8.3,1
3.320000,416.1,415.0,8.0,1
3.340000,414.3,415.0,8.2,1
3.360000,416.7,415.0,8.0,1
3.380000,414.9,415.0,8.3,1
3.400000,416.2,415.0,8.1,1
3.420000,415.9,415.0,8.4,1
3.440000,414.3,415.0,8.1,1
3.460000,413.2,415.0,8.0,1
3.480000,414.3,415.0,7.9,1
3.500000,414.0,415.0,8.4,1
3.520000,414.0,415.0,8.2,1
3.540000,415.3,415.0,8.0,1
3.560000,417.7,415.0,8.3,1
3.580000,412.5,415.0,8.1,1
3.600000,413.8,415.0,8.2,1
3.620000,412.7,415.0,8.4,1
3.640000,415.1,415.0,8.0,1
3.660000,414.1,415.0,7.9,1
3.680000,414.9,415.0,8.3,1
3.700000,413.7,415.0,8.4,1
3.720000,415.6,415.0,8.0,1
3.740000,415.8,415.0,8.4,1
3.760000,415.5,415.0,8.3,1
3.780000,415.3,415.0,8.1,1
3.800000,416.4,415.0,8.0,1
3.820000,416.8,415.0,8.2,1
3.840000,412.6,415.0,8.1,1
3.860000,415.2,415.0,8.5,1
3.880000,415.4,415.0,8.4,1
3.900000,414.8,415.0,7.7,1
3.920000,413.8,415.0,8.2,1
3.940000,416.9,415.0,8.3,1
3.960000,414.4,415.0,8.3,1
3.980000,415.0,415.0,8.3,1
4.000000,414.8,415.0,8.2,1
4.020000,413.7,415.0,8.2,1
4.040000,415.5,415.0,8.2,1
4.060000,415.2,415.0,8.2,1
4.080000,414.7,415.0,8.2,1
4.100000,415.8,415.0,8.2,1
4.120000,416.5,415.0,8.2,1
4.140000,415.3,415.0,8.1,1
4.160000,413.2,415.0,8.1,1
4.180000,415.2,415.0,8.2,1
4.200000,416.8,415.0,8.2,1
4.220000,415.0,415.0,8.5,1
4.240000,414.7,415.0,8.0,1
4.260000,416.5,415.0,8.3,1
4.280000,415.4,415.0,8.0,1
4.300000,413.7,415.0,7.9,1
4.320000,413.2,415.0,8.0,1
4.340000,414.5,415.0,8.5,1
4.360000,417.2,415.0,8.3,1
4.380000,414.4,415.0,8.0,1
4.400000,414.7,415.0,7.9,1
4.420000,415.8,415.0,8.1,1
4.440000,415.5,415.0,8.0,1
4.460000,415.9,415.0,8.5,1
4.480000,417.1,415.0,8.1,1
4.500000,415.6,415.0,8.2,1
4.520000,415.3,415.0,7.9,1
4.540000,414.9,415.0,8.0,1
4.560000,414.5,415.0,8.4,1
4.580000,415.8,415.0,8.1,1
4.600000,411.6,415.0,8.0,1
4.620000,412.6,415.0,8.1,1
4.640000,414.7,415.0,8.2,1
4.660000,416.5,415.0,8.1,1
4.680000,414.6,415.0,8.0,1
4.700000,413.2,415.0,8.1,1
4.720000,413.7,415.0,8.7,1
4.740000,415.2,415.0,7.9,1
4.760000,415.4,415.0,8.2,1
4.780000,415.4,415.0,8.1,1
4.800000,414.4,415.0,8.1,1
4.820000,415.7,415.0,8.3,1
4.840000,414.9,415.0,8.2,1
4.860000,415.6,415.0,8.4,1
4.880000,412.8,415.0,8.1,1
4.900000,414.7,415.0,8.2,1
4.920000,413.9,415.0,8.3,1
4.940000,413.8,415.0,8.1,1
4.960000,414.1,415.0,8.3,1
4.980000,414.8,415.0,8.1,1
5.000000,416.5,415.0,8.3,1
5.020000,413.3,415.0,8.3,1
5.040000,415.9,415.0,7.9,1
5.060000,414.5,415.0,8.1,1
5.080000,415.2,415.0,8.1,1
5.100000,415.5,415.0,8.3,1
5.120000,413.2,415.0,8.4,1
5.140000,415.6,415.0,8.1,1
5.160000,416.1,415.0,7.9,1
5.180000,412.6,415.0,8.3,1
5.200000,414.8,415.0,8.1,1
5.220000,415.5,415.0,8.2,1
5.240000,415.7,415.0,8.0,1
5.260000,414.6,415.0,8.1,1
5.280000,415.4,415.0,8.1,1
5.300000,416.0,415.0,8.2,1
5.320000,415.0,415.0,8.1,1
5.340000,413.4,415.0,8.0,1
5.360000,413.2,415.0,8.2,1
5.380000,414.7,415.0,8.3,1
5.400000,412.8,415.0,8.2,1
5.420000,413.1,415.0,8.3,1
5.440000,412.3,415.0,7.9,1
5.460000,414.2,415.0,8.3,1
5.480000,413.2,415.0,8.2,1
5.500000,415.7,415.0,8.1,1
5.520000,414.4,415.0,8.0,1
5.540000,413.6,415.0,8.1,1
5.560000,416.4,415.0,8.3,1
5.580000,414.8,415.0,8.4,1
5.600000,417.3,415.0,7.9,1
5.620000,413.3,415.0,8.1,1
5.640000,416.3,415.0,8.1,1
5.660000,411.3,415.0,8.7,1
5.680000,417.3,415.0,8.0,1
5.700000,413.0,415.0,8.2,1
5.720000,414.3,415.0,8.3,1
5.740000,415.4,415.0,8.1,1
5.760000,415.5,415.0,8.3,1
5.780000,415.1,415.0,8.2,1
5.800000,415.6,415.0,8.3,1
5.820000,414.8,415.0,8.4,1
5.840000,416.1,415.0,8.1,1
5.860000,415.0,415.0,8.0,1
5.880000,415.2,415.0,8.1,1
5.900000,416.9,415.0,8.2,1
5.920000,413.2,415.0,8.4,1
5.940000,414.2,415.0,8.2,1
5.960000,414.2,415.0,8.0,1
5.980000,415.4,415.0,8.1,1
6.000000,415.8,415.0,8.1,1
6.020000,414.1,415.0,8.3,1
6.040000,416.0,415.0,8.0,1
6.060000,416.0,415.0,8.5,1
6.080000,414.8,415.0,8.1,1
6.100000,414.9,415.0,8.3,1
6.120000,418.1,415.0,8.3,1
6.140000,414.5,415.0,8.1,1
6.160000,413.3,415.0,8.3,1
6.180000,415.9,415.0,8.2,1
6.200000,415.6,415.0,8.0,1
6.220000,415.4,415.0,8.2,1
6.240000,413.5,415.0,8.2,1
6.260000,416.9,415.0,8.0,1
6.280000,415.9,415.0,8.0,1
6.300000,416.1,415.0,8.2,1
6.320000,414.4,415.0,8.0,1
6.340000,413.6,415.0,8.1,1
6.360000,416.5,415.0,8.4,1
6.380000,415.3,415.0,8.1,1
6.400000,415.3,415.0,8.0,1
6.420000,416.1,415.0,8.1,1
6.440000,416.3,415.0,7.9,1
6.460000,414.2,415.0,8.4,1
6.480000,414.8,415.0,8.0,1
6.500000,414.2,415.0,8.0,1
6.520000,415.0,415.0,8.3,1
6.540000,415.8,415.0,8.1,1
6.560000,417.4,415.0,8.2,1
6.580000,413.4,415.0,8.2,1
6.600000,415.9,415.0,8.3,1
6.620000,415.7,415.0,8.2,1
6.640000,415.6,415.0,8.0,1
6.660000,416.1,415.0,8.5,1
6.680000,416.9,415.0,8.2,1
6.700000,414.7,415.0,8.0,1
6.720000,414.4,415.0,8.3,1
6.740000,414.7,415.0,8.2,1
6.760000,414.8,415.0,8.2,1
6.780000,412.0,415.0,8.1,1
6.800000,416.5,415.0,8.2,1
6.820000,416.0,415.0,8.3,1
6.840000,412.7,415.0,8.2,1
6.860000,415.9,415.0,8.2,1
6.880000,412.0,415.0,8.2,1
6.900000,415.9,415.0,8.3,1
6.920000,417.3,415.0,8.3,1
6.940000,413.4,415.0,8.0,1
6.960000,413.3,415.0,8.2,1
6.980000,415.1,415.0,8.3,1
7.000000,416.3,415.0,8.2,1
7.020000,413.6,415.0,8.2,1
7.040000,414.3,415.0,8.3,1
7.060000,416.5,415.0,8.4,1
7.080000,413.9,415.0,8.3,1
7.100000,416.9,415.0,8.0,1
7.120000,417.6,415.0,7.9,1
7.140000,414.7,415.0,8.5,1
7.160000,413.6,415.0,8.3,1
7.180000,415.8,415.0,7.9,1
7.200000,414.9,415.0,8.1,1
7.220000,415.4,415.0,8.2,1
7.240000,417.0,415.0,8.2,1
7.260000,416.0,415.0,8.4,1
7.280000,412.2,415.0,8.2,1
7.300000,416.2,415.0,8.4,1
7.320000,416.3,415.0,8.2,1
7.340000,415.0,415.0,8.0,1
7.360000,415.5,415.0,8.3,1
7.380000,411.0,415.0,8.2,1
7.400000,417.0,415.0,8.2,1
7.420000,415.4,415.0,8.2,1
7.440000,414.5,415.0,8.0,1
7.460000,415.2,415.0,8.3,1
7.480000,413.5,415.0,8.4,1
7.500000,415.3,415.0,8.2,1
7.520000,416.6,415.0,8.2,1
7.540000,414.6,415.0,8.1,1
7.560000,414.4,415.0,8.4,1
7.580000,413.7,415.0,8.1,1
7.600000,416.2,415.0,8.1,1
7.620000,414.1,415.0,8.4,1
7.640000,414.1,415.0,7.9,1
7.660000,413.6,415.0,8.2,1
7.680000,413.9,415.0,8.7,1
7.700000,416.9,415.0,8.3,1
7.720000,415.4,415.0,7.9,1
7.740000,415.5,415.0,8.1,1
7.760000,413.0,415.0,8.3,1
7.780000,416.1,415.0,8.2,1
7.800000,413.2,415.0,8.4,1
7.820000,414.0,415.0,8.4,1
7.840000,416.0,415.0,8.0,1
7.860000,414.6,415.0,8.0,1
7.880000,414.0,415.0,8.2,1
7.900000,414.3,415.0,8.3,1
7.920000,415.6,415.0,8.3,1
7.940000,414.9,415.0,8.3,1
7.960000,414.6,415.0,8.3,1
7.980000,415.0,415.0,8.0,1
8.000000,415.6,415.0,8.0,1
8.020000,414.4,415.0,8.3,1
8.040000,414.9,415.0,8.0,1
8.060000,415.3,415.0,8.4,1
8.080000,415.1,415.0,8.2,1
8.100000,416.5,415.0,8.1,1
8.120000,415.5,415.0,8.3,1
8.140000,415.8,415.0,8.0,1
8.160000,416.1,415.0,8.3,1
8.180000,415.3,415.0,8.5,1
8.200000,415.9,415.0,8.1,1
8.220000,411.5,415.0,8.0,1
8.240000,415.9,415.0,8.1,1
8.260000,413.7,415.0,8.3,1
8.280000,414.1,415.0,8.3,1
8.300000,414.6,415.0,8.2,1
8.320000,414.3,415.0,8.1,1
8.340000,415.3,415.0,8.1,1
8.360000,416.7,415.0,8.4,1
8.380000,411.8,415.0,8.2,1
8.400000,416.6,415.0,8.3,1
8.420000,415.8,415.0,8.3,1
8.440000,415.3,415.0,8.0,1
8.460000,417.3,415.0,8.0,1
8.480000,415.9,415.0,8.1,1
8.500000,415.6,415.0,8.1,1
8.520000,414.2,415.0,8.3,1
8.540000,414.3,415.0,8.4,1
8.560000,416.8,415.0,8.2,1
8.580000,414.9,415.0,8.0,1
8.600000,413.9,415.0,8.1,1
8.620000,414.6,415.0,8.5,1
8.640000,414.6,415.0,8.2,1
8.660000,415.6,415.0,8.2,1
8.680000,414.7,415.0,8.1,1
8.700000,415.2,415.0,8.3,1
8.720000,414.3,415.0,8.2,1
8.740000,414.4,415.0,8.0,1
8.760000,414.6,415.0,8.4,1
8.780000,416.5,415.0,8.3,1
8.800000,415.8,415.0,8.2,1
8.820000,415.4,415.0,8.4,1
8.840000,415.5,415.0,8.2,1
8.860000,412.6,415.0,8.4,1
8.880000,413.3,415.0,8.2,1
8.900000,415.4,415.0,8.1,1
8.920000,413.8,415.0,8.2,1
8.940000,414.8,415.0,8.2,1
8.960000,415.4,415.0,8.3,1
8.980000,412.4,415.0,8.3,1
9.000000,414.0,415.0,8.4,1
9.020000,416.2,415.0,8.3,1
9.040000,415.3,415.0,7.9,1
9.060000,415.4,415.0,8.4,1
9.080000,413.5,415.0,8.4,1
9.100000,415.0,415.0,8.1,1
9.120000,413.4,415.0,8.2,1
9.140000,417.2,415.0,8.1,1
9.160000,414.7,415.0,8.2,1
9.180000,414.4,415.0,8.3,1
9.200000,416.0,415.0,8.3,1
9.220000,413.9,415.0,8.2,1
9.240000,416.1,415.0,7.9,1
9.260000,414.1,415.0,8.3,1
9.280000,414.7,415.0,8.4,1
9.300000,417.6,415.0,8.3,1
9.320000,415.9,415.0,8.3,1
9.340000,413.8,415.0,8.1,1
9.360000,414.5,415.0,8.0,1
9.380000,412.1,415.0,8.5,1
9.400000,416.0,415.0,8.3,1
9.420000,415.0,415.0,8.2,1
9.440000,414.7,415.0,8.2,1
9.460000,416.6,415.0,8.1,1
9.480000,414.3,415.0,8.3,1
9.500000,418.7,415.0,8.4,1
9.520000,413.6,415.0,8.3,1
9.540000,413.8,415.0,8.3,1
9.560000,414.8,415.0,8.1,1
9.580000,413.1,415.0,8.0,1
9.600000,415.1,415.0,8.4,1
9.620000,415.9,415.0,8.3,1
9.640000,414.7,415.0,8.2,1
9.660000,412.9,415.0,8.2,1
9.680000,413.1,415.0,8.3,1
9.700000,415.9,415.0,8.2,1
9.720000,414.9,415.0,8.4,1
9.740000,416.3,415.0,8.2,1
9.760000,415.3,415.0,8.4,1
9.780000,414.1,415.0,8.0,1
9.800000,415.9,415.0,8.4,1
9.820000,414.6,415.0,8.3,1
9.840000,414.2,415.0,8.0,1
9.860000,415.8,415.0,8.2,1
9.880000,414.0,415.0,8.0,1
9.900000,414.7,415.0,8.3,1
9.920000,413.2,415.0,8.4,1
9.940000,416.0,415.0,8.2,1
9.960000,415.9,415.0,8.4,1
9.980000,414.8,415.0,8.2,1
10.000000,418.4,415.0,8.3,1
10.020000,414.3,415.0,8.0,1
10.040000,413.9,415.0,8.0,1
10.060000,414.1,415.0,8.3,1
10.080000,414.2,415.0,8.0,1
10.100000,415.3,415.0,8.3,1
10.120000,414.1,415.0,8.2,1
10.140000,416.3,415.0,8.0,1
10.160000,415.1,415.0,8.4,1
10.180000,415.2,415.0,8.5,1
10.200000,416.7,415.0,8.5,1
10.220000,413.8,415.0,8.2,1
10.240000,415.6,415.0,7.9,1
10.260000,413.5,415.0,8.5,1
10.280000,415.1,415.0,8.2,1
10.300000,414.8,415.0,8.1,1
10.320000,413.7,415.0,8.3,1
10.340000,414.6,415.0,8.2,1
10.360000,415.5,415.0,8.2,1
10.380000,414.0,415.0,8.5,1
10.400000,416.2,415.0,8.1,1
10.420000,414.4,415.0,8.4,1
10.440000,415.6,415.0,8.2,1
10.460000,414.2,415.0,8.3,1
10.480000,415.2,415.0,8.1,1
10.500000,414.0,415.0,8.3,1
10.520000,414.5,415.0,8.2,1
10.540000,416.1,415.0,8.4,1
10.560000,414.0,415.0,8.2,1
10.580000,413.3,415.0,8.0,1
10.600000,414.0,415.0,8.2,1
10.620000,414.2,415.0,8.7,1
10.640000,414.9,415.0,8.2,1
10.660000,415.6,415.0,8.2,1
10.680000,417.6,415.0,8.3,1
10.700000,415.0,415.0,8.3,1
10.720000,414.3,415.0,8.8,1
10.740000,416.9,415.0,8.0,1
10.760000,414.3,415.0,8.0,1
10.780000,414.4,415.0,8.4,1
10.800000,414.5,415.0,8.3,1
10.820000,414.0,415.0,8.3,1
10.840000,413.8,415.0,8.1,1
10.860000,414.3,415.0,8.7,1
10.880000,416.4,415.0,8.0,1
10.900000,418.0,415.0,7.9,1
10.920000,412.8,415.0,8.4,1
10.940000,414.5,415.0,8.2,1
10.960000,416.1,415.0,8.4,1
10.980000,416.4,415.0,8.2,1
11.000000,416.3,415.0,8.2,1
11.020000,413.9,415.0,8.4,1
11.040000,413.7,415.0,7.9,1
11.060000,417.1,415.0,8.5,1
11.080000,414.3,415.0,8.4,1
11.100000,414.7,415.0,8.0,1
11.120000,415.7,415.0,8.3,1
11.140000,415.6,415.0,8.2,1
11.160000,414.7,415.0,8.6,1
11.180000,414.3,415.0,8.1,1
11.200000,415.7,415.0,8.3,1
11.220000,414.4,415.0,8.5,1
11.240000,416.1,415.0,8.1,1
11.260000,413.1,415.0,8.4,1
11.280000,414.2,415.0,8.1,1
11.300000,413.4,415.0,8.4,1
11.320000,412.8,415.0,8.3,1
11.340000,416.3,415.0,8.1,1
11.360000,414.5,415.0,8.3,1
11.380000,413.7,415.0,8.5,1
11.400000,418.1,415.0,8.1,1
